ccf_ap	ccf_dv	ccf_lr	allen_ontology
5501.4	2761.7	3640.4	CP
5527.9	2761.7	3658.4	CP
5517.6	2742.4	3645.1	CP
5544	2742.4	3663.1	CP
5507.3	2723.1	3631.7	CP
5533.8	2723.1	3649.7	CP
5523.5	2703.8	3636.4	CP
5549.9	2703.8	3654.4	CP
5513.2	2684.5	3623.1	CP
5539.6	2684.5	3641.1	CP
5529.4	2665.2	3627.8	CP
5555.8	2665.2	3645.8	CP
5519.1	2645.9	3614.4	CP
5545.5	2645.9	3632.4	CP
5535.3	2626.6	3619.1	CP
5561.7	2626.6	3637.1	CP
5525	2607.3	3605.8	CP
5551.4	2607.3	3623.8	CP
5541.2	2588	3610.5	CP
5567.6	2588	3628.5	CP
5530.9	2568.7	3597.1	CP
5557.3	2568.7	3615.1	CP
5547.1	2549.4	3601.8	CP
5573.5	2549.4	3619.8	CP
5536.8	2530.1	3588.5	CP
5563.2	2530.1	3606.5	CP
5579.4	2510.8	3611.2	CP
5542.7	2491.5	3579.8	CP
5569.1	2491.5	3597.8	CP
5558.8	2472.2	3584.5	CP
5585.3	2472.2	3602.5	CP
5548.6	2452.9	3571.2	CP
5575	2452.9	3589.2	CP
5564.7	2433.5	3575.9	CP
5591.2	2433.5	3593.9	CP
5554.5	2414.2	3562.5	CP
5580.9	2414.2	3580.5	SSp
5570.6	2394.9	3567.2	SSp
5597.1	2394.9	3585.2	SSp
5560.3	2375.6	3553.9	SSp
5586.8	2375.6	3571.9	SSp
5576.5	2356.3	3558.6	SSp
5603	2356.3	3576.6	SSp
5566.2	2337	3545.2	SSp
5592.7	2337	3563.2	SSp
5582.4	2317.7	3549.9	SSp
5608.9	2317.7	3567.9	SSp
5572.1	2298.4	3536.6	SSp
5598.6	2298.4	3554.6	SSp
5588.3	2279.1	3541.3	SSp
5614.7	2279.1	3559.3	SSp
5578	2259.8	3527.9	SSp
5604.5	2259.8	3545.9	SSp
5594.2	2240.5	3532.6	SSp
5620.6	2240.5	3550.6	SSp
5583.9	2221.2	3519.3	SSp
5610.4	2221.2	3537.3	SSp
5600.1	2201.9	3524	SSp
5626.5	2201.9	3542	SSp
5589.8	2182.6	3510.6	SSp
5616.3	2182.6	3528.6	SSp
5606	2163.3	3515.3	SSp
5632.4	2163.3	3533.3	SSp
5595.7	2144	3502	SSp
5611.9	2124.7	3506.7	SSp
5638.3	2124.7	3524.7	SSp
5601.6	2105.4	3493.3	SSp
5628	2105.4	3511.3	SSp
5617.8	2086.1	3498	SSp
5644.2	2086.1	3516	SSp
5607.5	2066.8	3484.7	SSp
5633.9	2066.8	3502.7	SSp
5623.7	2047.5	3489.3	SSp
5650.1	2047.5	3507.4	SSp
5613.4	2028.2	3476	SSp
5639.8	2028.2	3494	SSp
5629.6	2008.9	3480.7	SSp
5656	2008.9	3498.7	SSp
5619.3	1989.6	3467.4	SSp
5645.7	1989.6	3485.4	SSp
5635.4	1970.3	3472	SSp
5661.9	1970.3	3490.1	SSp
5625.2	1951	3458.7	SSp
5651.6	1951	3476.7	SSp
5641.3	1931.7	3463.4	SSp
5667.8	1931.7	3481.4	SSp
5631.1	1912.4	3450.1	SSp
5657.5	1912.4	3468.1	SSp
5647.2	1893.1	3454.7	SSp
5673.7	1893.1	3472.8	SSp
5637	1873.8	3441.4	SSp
5663.4	1873.8	3459.4	SSp
5653.1	1854.5	3446.1	SSp
5679.6	1854.5	3464.1	SSp
5642.8	1835.2	3432.8	SSp
5669.3	1835.2	3450.8	SSp
5659	1815.9	3437.4	SSp
5685.5	1815.9	3455.5	SSp
5648.7	1796.5	3424.1	SSp
5675.2	1796.5	3442.1	SSp
5691.4	1777.2	3446.8	SSp
5654.6	1757.9	3415.5	SSp
5681.1	1757.9	3433.5	SSp
5670.8	1738.6	3420.1	SSp
5697.2	1738.6	3438.2	SSp
5660.5	1719.3	3406.8	SSp
5687	1719.3	3424.8	SSp
5676.7	1700	3411.5	SSp
5703.1	1700	3429.5	SSp
5666.4	1680.7	3398.2	SSp
5692.9	1680.7	3416.2	SSp
5682.6	1661.4	3402.8	SSp
5709	1661.4	3420.9	SSp
5672.3	1642.1	3389.5	SSp
5698.8	1642.1	3407.5	SSp
5688.5	1622.8	3394.2	SSp
5714.9	1622.8	3412.2	SSp
5678.2	1603.5	3380.9	SSp
5704.6	1603.5	3398.9	SSp
5694.4	1584.2	3385.5	SSp
5720.8	1584.2	3403.6	SSp
5684.1	1564.9	3372.2	SSp
5710.5	1564.9	3390.2	SSp
5700.3	1545.6	3376.9	SSp
5726.7	1545.6	3394.9	SSp
5690	1526.3	3363.6	SSp
5716.4	1526.3	3381.6	SSp
5706.2	1507	3368.2	SSp
5732.6	1507	3386.3	SSp
5695.9	1487.7	3354.9	SSp
5722.3	1487.7	3372.9	SSp
5712	1468.4	3359.6	SSp
5738.5	1468.4	3377.6	SSp
5701.8	1449.1	3346.3	SSp
5728.2	1449.1	3364.3	SSp
5717.9	1429.8	3350.9	SSp
5744.4	1429.8	3368.9	SSp
5707.7	1410.5	3337.6	SSp
5723.8	1391.2	3342.3	SSp
5750.3	1391.2	3360.3	SSp
5713.6	1371.9	3329	SSp
5740	1371.9	3347	SSp
5729.7	1352.6	3333.6	SSp
5756.2	1352.6	3351.6	SSp
5719.5	1333.3	3320.3	SSp
5745.9	1333.3	3338.3	SSp
5735.6	1314	3325	SSp
5762.1	1314	3343	SSp
5725.3	1294.7	3311.6	SSp
5751.8	1294.7	3329.7	SSp
5741.5	1275.4	3316.3	SSp
5768	1275.4	3334.3	SSp
5731.2	1256.1	3303	SSp
5757.7	1256.1	3321	SSp
5747.4	1236.8	3307.7	SSp
5773.9	1236.8	3325.7	SSp
5737.1	1217.5	3294.3	SSp
5763.6	1217.5	3312.4	SSp
5753.3	1198.2	3299	SSp
5779.7	1198.2	3317	SSp
5743	1178.8	3285.7	SSp
5769.5	1178.8	3303.7	SSp
5759.2	1159.5	3290.4	SSp
5785.6	1159.5	3308.4	SSp
5748.9	1140.2	3277	SSp
5775.4	1140.2	3295.1	SSp
5765.1	1120.9	3281.7	SSp
5791.5	1120.9	3299.7	SSp
5754.8	1101.6	3268.4	SSp
5781.3	1101.6	3286.4	SSp
5771	1082.3	3273.1	SSp
5797.4	1082.3	3291.1	SSp
5760.7	1063	3259.7	SSp
5787.1	1063	3277.8	SSp
5803.3	1043.7	3282.4	SSp
5766.6	1024.4	3251.1	SSp
