session,matching_seed,repetition,pipeline_success,pattern_pass,chan_dom_L_min,chan_dom_L_mean,chan_dom_R_min,chan_dom_R_mean,late_L_d_minus_i,late_L_i_minus_dR,late_R_d_minus_i,late_R_i_minus_dL,min_required_margin,error
Radnitz_2017-01-12,5,41,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,42,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,43,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,44,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,45,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,46,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,47,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,48,True,False,,,,,,,,,,
Radnitz_2017-01-12,5,49,True,False,,,,,,,,,,
Richards_2017-11-01,27,0,True,False,1.7891284735593715,2.1630294910550134,1.435631886388346,2.1630294910550143,0.33393065281277756,0.271518554276932,0.023987918175094824,-0.12231153330908447,-0.12231153330908447,
Richards_2017-11-01,27,1,True,False,,,,,,,,,,
Richards_2017-11-01,27,2,True,False,1.917925789377136,2.111674512810524,1.6692057262364135,2.111674512810522,0.16034741335831248,-0.8504420216312106,-0.015089787373651187,0.3757797278658978,-0.8504420216312106,
Richards_2017-11-01,27,3,True,False,1.5874896708001391,2.0342454970813697,1.9056613793630046,2.0342454970813697,-0.14729877957640247,0.789124474220021,0.3365921097119936,-0.22706274872423862,-0.22706274872423862,
Richards_2017-11-01,27,4,True,False,1.793362051323929,2.2957055563666167,1.9412799607786342,2.2957055563666153,0.22366336638197315,0.48301757529936595,-0.2171032284175427,0.5111930861880852,-0.2171032284175427,
Richards_2017-11-01,27,5,True,False,,,,,,,,,,
Richards_2017-11-01,27,6,True,True,1.872090275424669,2.3088635421263755,1.5390052717400808,2.308863542126376,0.2576353868509089,0.2590620738606135,0.1124677012198525,0.4669066600866383,0.1124677012198525,
Richards_2017-11-01,27,7,True,False,1.5006660100163494,1.8645153561031773,1.0983594637414416,1.8645153561031773,-0.43132226948151786,-0.16326917389497492,0.23594976293218117,-0.4835154636905963,-0.4835154636905963,
Richards_2017-11-01,27,8,True,False,1.1443638773016276,1.996810312148133,1.2895801846616788,1.9968103121481333,-0.10215339992699557,0.7746710306736112,0.49009208444718133,-0.42884342886049515,-0.42884342886049515,
Richards_2017-11-01,27,9,True,True,1.3354558270347936,1.9786237397269524,1.1568211629182779,1.9786237397269522,0.00497803341517844,0.1447240418261434,0.2022480134468987,0.9023175601587056,0.00497803341517844,
Richards_2017-11-01,27,10,True,False,,,,,,,,,,
Richards_2017-11-01,27,11,True,False,0.9981812288517666,1.810807276574283,1.058281771005318,1.8108072765742833,0.17626171846538907,-0.23759152803826622,-0.2481767136350782,0.09482114560974647,-0.2481767136350782,
Richards_2017-11-01,27,12,True,False,0.7829417089480986,1.940474018021919,1.667515321817488,1.9404740180219193,-0.05186141150708523,0.23672503016785373,-0.25924352244271454,0.14140882797158916,-0.25924352244271454,
Richards_2017-11-01,27,13,True,False,,,,,,,,,,
Richards_2017-11-01,27,14,True,False,,,,,,,,,,
Richards_2017-11-01,27,15,True,False,1.1558233119076644,2.2453173842901992,1.5597626101381512,2.2453173842901997,-0.15174645833436506,0.043387998675007367,0.3709073251995725,-0.013430919579976136,-0.15174645833436506,
Richards_2017-11-01,27,16,True,False,1.8002311799255286,2.2548954980192844,1.5609532094144905,2.2548954980192826,0.0729176361104813,0.4643831715896244,0.00947727518821373,-0.27196965216112456,-0.27196965216112456,
Richards_2017-11-01,27,17,True,False,2.0540545309463734,2.292595194813099,1.4381497081273666,2.2925951948131,0.13959819024821907,-0.396737519503791,-0.0906953893795569,0.1367169786431124,-0.396737519503791,
Richards_2017-11-01,27,18,True,False,,,,,,,,,,
Richards_2017-11-01,27,19,True,False,,,,,,,,,,
Richards_2017-11-01,27,20,True,False,1.5521742392596058,1.833514009800566,1.0947315907941788,1.8335140098005667,0.05330026538324356,-0.2700444852718751,0.19297209768026025,-0.11360399944134747,-0.2700444852718751,
Richards_2017-11-01,27,21,True,False,,,,,,,,,,
Richards_2017-11-01,27,22,True,False,1.10193848062837,2.286555362210983,1.4649820981507433,2.2865553622109824,0.11827280442401633,-0.47989116286763767,0.1718500902029081,-0.3821937771958045,-0.47989116286763767,
Richards_2017-11-01,27,23,True,False,,,,,,,,,,
Richards_2017-11-01,27,24,True,False,,,,,,,,,,
Richards_2017-11-01,27,25,True,False,,,,,,,,,,
Richards_2017-11-01,27,26,True,False,1.6608569430452127,2.0456843061271845,1.0801177896417438,2.045684306127186,-0.19463190148587417,-0.7929889276008226,-0.09921301904835556,-0.1833319222118867,-0.7929889276008226,
