session,trial_id,choice_left,decision_time_ms,signed_contrast,evidence_magnitude,matching_seed
Richards_2017-11-01,99,0,376.65013605771946,1.0,1.0,27
Richards_2017-11-01,100,0,301.0094226765432,1.0,1.0,27
Richards_2017-11-01,101,1,214.66678421523966,-1.0,1.0,27
Richards_2017-11-01,102,0,213.78750545306957,1.0,1.0,27
Richards_2017-11-01,105,0,341.2408319297242,1.0,1.0,27
Richards_2017-11-01,106,0,375.19212337076624,0.75,0.75,27
Richards_2017-11-01,107,1,219.14070786777984,-0.5,0.5,27
Richards_2017-11-01,109,0,360.449562922895,0.75,0.75,27
Richards_2017-11-01,112,0,325.66378492640524,0.75,0.75,27
Richards_2017-11-01,114,1,234.06179476103262,-1.0,1.0,27
Richards_2017-11-01,117,0,313.78982228841323,0.75,0.75,27
Richards_2017-11-01,130,1,260.8916140729889,-0.5,0.5,27
Richards_2017-11-01,131,1,334.04659869438547,0.75,0.75,27
Richards_2017-11-01,133,0,304.7109246299442,0.75,0.75,27
Richards_2017-11-01,134,0,386.80384870235685,0.5,0.5,27
Richards_2017-11-01,137,1,144.4313856026156,-0.5,0.5,27
Richards_2017-11-01,139,1,167.93390427807253,0.0,0.0,27
Richards_2017-11-01,145,1,312.7346944537521,-1.0,1.0,27
Richards_2017-11-01,148,1,283.7634751163023,-0.5,0.5,27
Richards_2017-11-01,166,0,237.4330650667389,1.0,1.0,27
Richards_2017-11-01,167,1,233.23978969733616,0.0,0.0,27
