session,trial_id,choice_left,decision_time_ms,signed_contrast,random_seed
zadorlab | CSH_ZAD_026 | 2020-08-17,92,1,145.79443870542264,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,100,1,2654.438028592665,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,102,1,2049.949808550423,0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,104,1,1825.5800085188412,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,111,0,194.67181841633874,0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,113,0,124.32528836041001,0.25,0
zadorlab | CSH_ZAD_026 | 2020-08-17,115,1,2369.708658330069,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,120,1,2676.2740282540562,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,121,1,176.7689082389552,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,122,1,1323.6657482264036,1.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,125,1,203.02751819360765,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,127,0,566.0775481700284,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,134,0,137.3792980888311,-0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,145,0,337.39144793810283,0.25,0
zadorlab | CSH_ZAD_026 | 2020-08-17,147,0,197.43971791353943,-0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,148,0,148.45317790434365,-0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,149,0,418.996587893389,-0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,154,0,623.9882178388143,-0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,159,0,240.04353777559118,-0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,161,0,526.5617777554326,0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,163,0,401.7468677307079,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,170,1,2481.94050765062,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,172,0,235.15877762520176,-0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,176,0,174.26574756530044,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,187,0,191.28924743120024,-0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,193,1,2931.0295573635585,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,195,0,225.0811473381873,-0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,199,0,167.74960728491806,-0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,204,0,108.68491721726059,-0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,210,1,3460.310087132143,0.25,0
zadorlab | CSH_ZAD_026 | 2020-08-17,212,1,2656.836727103041,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,219,1,3268.4704170172836,0.0,0
