ccf_ap	ccf_dv	ccf_lr	allen_ontology
8141.1	5782.8	4131.6	root
8171.2	5782.8	4120.7	root
8153.6	5764.3	4119.1	root
8183.7	5764.3	4108.2	root
8136	5745.7	4117.6	root
8166.1	5745.7	4106.6	root
8148.5	5727.2	4105.1	root
8178.5	5727.2	4094.1	root
8130.9	5708.6	4103.5	root
8160.9	5708.6	4092.5	root
8143.3	5690.1	4091	root
8173.4	5690.1	4080	root
8125.7	5671.6	4089.4	root
8155.8	5671.6	4078.5	root
8138.2	5653	4076.9	root
8168.3	5653	4065.9	root
8120.6	5634.5	4075.3	root
8150.7	5634.5	4064.4	root
8133.1	5615.9	4062.8	root
8163.2	5615.9	4051.9	root
8115.5	5597.4	4061.2	root
8145.6	5597.4	4050.3	root
8128	5578.8	4048.7	root
8158	5578.8	4037.8	root
8110.4	5560.3	4047.2	root
8140.4	5560.3	4036.2	root
8152.9	5541.7	4023.7	root
8105.3	5523.2	4033.1	root
8135.3	5523.2	4022.1	root
8117.7	5504.7	4020.6	root
8147.8	5504.7	4009.6	root
8100.1	5486.1	4019	root
8130.2	5486.1	4008.1	root
8112.6	5467.6	4006.5	root
8142.7	5467.6	3995.5	root
8095	5449	4004.9	root
8125.1	5449	3994	root
8107.5	5430.5	3992.4	root
8137.5	5430.5	3981.5	root
8089.9	5411.9	3990.8	root
8119.9	5411.9	3979.9	root
8102.3	5393.4	3978.3	root
8132.4	5393.4	3967.4	root
8084.8	5374.9	3976.8	root
8114.8	5374.9	3965.8	root
8097.2	5356.3	3964.2	root
8127.3	5356.3	3953.3	root
8079.6	5337.8	3962.7	root
8109.7	5337.8	3951.7	root
8092.1	5319.2	3950.2	root
8122.2	5319.2	3939.2	root
8074.5	5300.7	3948.6	root
8104.6	5300.7	3937.7	root
8087	5282.1	3936.1	root
8117	5282.1	3925.1	root
8069.4	5263.6	3934.5	root
8099.4	5263.6	3923.6	root
8081.8	5245	3922	root
8111.9	5245	3911.1	root
8064.3	5226.5	3920.4	root
8094.3	5226.5	3909.5	root
8076.7	5208	3907.9	root
8106.8	5208	3897	root
8059.1	5189.4	3906.4	root
8071.6	5170.9	3893.8	root
8101.7	5170.9	3882.9	root
