source,source_bits,target,target_bits,probability,n_common_networks,choice,responsiveness,pliancy
14,[1110],10,[1010],0.011614401858304297,203,17.637762820796187,-10.115437932420832,-5.247999275027475
14,[1110],11,[1011],0.004645760743321719,106,3.242012431967077,-4.2361760085035645,1.705971729485083
14,[1110],13,[1101],0.015098722415795587,177,-24.02811202836657,-5.310514696783945,0.4946893664875407
14,[1110],0,[0000],0.0011614401858304297,206,-3.712080378945023,-67.90032104520603,-58.6806431107899
14,[1110],3,[0011],0.0011614401858304297,64,-8.278708249144632,-19.296470616181754,-2.824840652050495
14,[1110],5,[0101],0.0011614401858304297,197,-38.04518655021663,-22.953217458100553,-6.584536684815012
12,[1100],14,[1110],0.06819062378922898,192,11.832878680174797,11.327652079243213,6.222979326988838
12,[1100],13,[1101],0.08097636574970941,193,-13.141645765146226,6.479263774279146,6.6193315192018884
12,[1100],15,[1111],0.059279349089500194,160,-0.4193512417689217,15.5936443642615,11.467699369470857
12,[1100],4,[0100],0.01084850833010461,247,-17.28082660705917,-24.911958711090996,-11.301542762199984
12,[1100],8,[1000],0.008911274699728787,246,20.846140180308424,-16.00279351887167,-9.858579014179815
12,[1100],10,[1010],0.002324680356450988,225,28.176956191371204,0.8022612623910557,0.37089504824484276
12,[1100],5,[0101],0.0030995738086013174,218,-28.040087287015815,-12.341721096362232,-0.3610349708509074
12,[1100],0,[0000],0.0007748934521503294,247,7.689860461912823,-57.32207572572449,-52.56505356923523
12,[1100],7,[0111],0.0003874467260751647,107,-13.348542643074325,-0.8919296116313866,6.654458294165096
11,[1011],15,[1111],0.2219430485762144,127,-14.233803777074005,10.045787641330303,4.128787858946463
11,[1011],3,[0011],0.11306532663316583,96,-12.068187126505041,-16.222928938386644,-5.896049368751358
11,[1011],7,[0111],0.018425460636515914,118,-26.327359395599743,-6.416044971833636,-1.3251336332432397
11,[1011],9,[1001],0.005025125628140704,100,-11.078678478411843,-12.595008061285455,-7.077460484203973
11,[1011],10,[1010],0.038525963149078725,149,14.570195880365725,-5.881890059075473,-7.902750268928878
11,[1011],2,[0010],0.0008375209380234506,124,2.0753561648867147,-24.71190028839832,-14.119385749072348
11,[1011],5,[0101],0.0008375209380234506,148,-39.634543119780695,-18.94815000504607,-8.891003527464786
11,[1011],13,[1101],0.0008375209380234506,98,-25.04828865048388,0.037124743338795674,-1.5130037337614617
11,[1011],8,[1000],0.0016750418760469012,144,8.191768964236436,-20.221678265267272,-17.565224012914037
11,[1011],14,[1110],0.0008375209380234506,106,-3.242012431967077,4.2361760085035645,-1.705971729485083
11,[1011],1,[0001],0.0008375209380234506,124,-24.256941448433565,-30.31365446774023,-13.467575357440616
11,[1011],6,[0110],0.0008375209380234506,90,-12.460006046531007,-13.834310055438323,-7.860730937438128
4,[0100],15,[1111],0.02076603599446239,190,16.02297589534632,39.68502184493702,23.02785681702304
4,[0100],7,[0111],0.01799723119520074,147,4.081202843099259,23.763407292567052,17.963100531341226
4,[0100],0,[0000],0.014997692662667282,292,24.339603109379546,-31.412217828319562,-40.807639212191994
4,[0100],5,[0101],0.16151361329026304,259,-10.43829563023445,12.152952465797329,10.653817387879926
4,[0100],13,[1101],0.0586063682510383,202,3.3803315345900176,30.13096377801143,17.865002080759467
4,[0100],6,[0110],0.011305952930318412,123,15.722623292358636,18.766420680525066,11.831855640182724
4,[0100],12,[1100],0.14559298569450854,247,17.28082660705917,24.911958711090996,11.301542762199984
4,[0100],10,[1010],0.00046146746654360867,265,45.67980599152559,24.3929401968437,11.517412743291654
4,[0100],14,[1110],0.01430549146285187,206,27.667394722892126,35.51907143439816,17.299414801380358
4,[0100],8,[1000],0.004153207198892478,287,38.47380918494902,8.876337134719476,1.6301068377729278
4,[0100],1,[0001],0.0025380710659898475,168,5.054688962750912,-0.09622514559844486,5.856818430178406
4,[0100],9,[1001],0.00046146746654360867,144,18.77274525513973,18.305921478660345,13.436526722433506
4,[0100],2,[0010],0.0006922011998154131,169,32.49473969381927,5.990702604748188,5.1651953913659145
4,[0100],11,[1011],0.00023073373327180433,143,29.26632235752868,28.993589716140335,18.758171767565322
2,[0010],7,[0111],0.08256172839506173,129,-29.401865690225847,18.038488281788048,12.416042797700623
2,[0010],10,[1010],0.10108024691358025,172,11.75840640708638,17.619282362032344,5.709781963254569
2,[0010],3,[0011],0.35725308641975306,107,-13.930369014019943,8.859625753167409,9.478705171921836
2,[0010],5,[0101],0.008487654320987654,169,-42.29561223552354,4.438402940139564,4.21892472437984
2,[0010],6,[0110],0.04243827160493827,96,-16.927349259992454,11.621252807400385,6.034016712348223
2,[0010],11,[1011],0.06018518518518518,124,-2.0753561648867147,24.71190028839832,14.119385749072348
2,[0010],1,[0001],0.02854938271604938,142,-27.595793044037862,-5.446197047152108,0.5590868898406194
2,[0010],0,[0000],0.11496913580246913,177,-8.188141947635838,-36.013898272582665,-44.00851881562593
2,[0010],15,[1111],0.020061728395061727,136,-16.02734906901488,33.83225746487922,17.3070708945287
2,[0010],14,[1110],0.011574074074074073,120,-5.808703958041148,27.047866871510003,10.226210243189142
2,[0010],4,[0100],0.009259259259259259,169,-32.49473969381927,-5.990702604748188,-5.1651953913659145
2,[0010],8,[1000],0.0023148148148148147,169,6.227088551513475,2.561445367991235,-4.096797818732819
9,[1001],11,[1011],0.2916666666666667,100,11.078678478411843,12.595008061285455,7.077460484203973
9,[1001],13,[1101],0.06818181818181818,109,-12.63334558962323,10.978848027786126,4.1119589786368085
9,[1001],15,[1111],0.09090909090909091,123,-2.080832155346302,20.97988544840801,9.675747765680548
9,[1001],8,[1000],0.07196969696969698,144,19.714686773199062,-10.056432591419224,-11.78554847460946
9,[1001],10,[1010],0.03787878787878788,144,26.12388550222942,5.451730597039553,-1.790785095255806
9,[1001],0,[0000],0.007575757575757576,146,6.262857420300902,-48.327597408355516,-53.00079658467483
9,[1001],3,[0011],0.007575757575757576,75,-0.2523371979582736,-3.8686757494287143,2.643178560309975
9,[1001],1,[0001],0.015151515151515152,112,-14.157398210222336,-16.543071962417727,-6.703478087794668
9,[1001],2,[0010],0.003787878787878788,110,13.283780298629889,-12.115637762557586,-6.9468875229902185
9,[1001],5,[0101],0.003787878787878788,141,-27.31162362518214,-7.745327439302534,-2.7736226393307377
9,[1001],4,[0100],0.003787878787878788,144,-18.77274525513973,-18.305921478660345,-13.436526722433506
13,[1101],15,[1111],0.15063731170336037,152,11.93646884340011,9.822391174910853,5.165101900489766
13,[1101],9,[1001],0.008111239860950173,109,12.63334558962323,-10.978848027786126,-4.1119589786368085
13,[1101],8,[1000],0.0011587485515643105,202,32.70139926571056,-22.11624406292055,-16.34659563974842
13,[1101],4,[0100],0.002317497103128621,202,-3.3803315345900176,-30.13096377801143,-17.865002080759467
13,[1101],12,[1100],0.027809965237543453,193,13.141645765146226,-6.479263774279146,-6.6193315192018884
13,[1101],5,[0101],0.015063731170336037,190,-14.184226767090617,-17.897334247772722,-7.375398280123872
13,[1101],14,[1110],0.013904982618771726,177,24.02811202836657,5.310514696783945,-0.4946893664875407
13,[1101],11,[1011],0.011587485515643106,98,25.04828865048388,-0.037124743338795674,1.5130037337614617
13,[1101],0,[0000],0.0011587485515643105,202,19.790585004206662,-62.6546262930476,-59.31773589010342
13,[1101],7,[0111],0.004634994206257242,99,-0.25330452259349484,-6.255175918994987,0.33488326651193123
13,[1101],1,[0001],0.0011587485515643105,109,-1.5089950823325493,-28.440672422018864,-11.038795711940278
10,[1010],15,[1111],0.058146964856230034,193,-29.149798047267197,15.770778875970581,11.61502192137808
10,[1010],11,[1011],0.0939297124600639,149,-14.570195880365725,5.881890059075473,7.902750268928878
