source,source_bits,target,target_bits,transition_type,count,probability
9,"[1,0,0,1]",15,"[1,1,1,1]",state_to_state,24,0.09090909090909091
10,"[1,0,1,0]",END,END,state_to_END,1075,0.6869009584664537
10,"[1,0,1,0]",0,"[0,0,0,0]",state_to_state,6,0.0038338658146964857
10,"[1,0,1,0]",2,"[0,0,1,0]",state_to_state,51,0.03258785942492013
10,"[1,0,1,0]",3,"[0,0,1,1]",state_to_state,10,0.006389776357827476
10,"[1,0,1,0]",5,"[0,1,0,1]",state_to_state,2,0.0012779552715654952
10,"[1,0,1,0]",6,"[0,1,1,0]",state_to_state,10,0.006389776357827476
10,"[1,0,1,0]",7,"[0,1,1,1]",state_to_state,9,0.005750798722044728
10,"[1,0,1,0]",8,"[1,0,0,0]",state_to_state,20,0.012779552715654952
10,"[1,0,1,0]",9,"[1,0,0,1]",state_to_state,4,0.0025559105431309905
10,"[1,0,1,0]",11,"[1,0,1,1]",state_to_state,147,0.0939297124600639
10,"[1,0,1,0]",12,"[1,1,0,0]",state_to_state,5,0.003194888178913738
10,"[1,0,1,0]",14,"[1,1,1,0]",state_to_state,135,0.08626198083067092
10,"[1,0,1,0]",15,"[1,1,1,1]",state_to_state,91,0.058146964856230034
11,"[1,0,1,1]",END,END,state_to_END,712,0.5963149078726968
11,"[1,0,1,1]",1,"[0,0,0,1]",state_to_state,1,0.0008375209380234506
11,"[1,0,1,1]",2,"[0,0,1,0]",state_to_state,1,0.0008375209380234506
11,"[1,0,1,1]",3,"[0,0,1,1]",state_to_state,135,0.11306532663316583
11,"[1,0,1,1]",5,"[0,1,0,1]",state_to_state,1,0.0008375209380234506
11,"[1,0,1,1]",6,"[0,1,1,0]",state_to_state,1,0.0008375209380234506
11,"[1,0,1,1]",7,"[0,1,1,1]",state_to_state,22,0.018425460636515914
11,"[1,0,1,1]",8,"[1,0,0,0]",state_to_state,2,0.0016750418760469012
11,"[1,0,1,1]",9,"[1,0,0,1]",state_to_state,6,0.005025125628140704
11,"[1,0,1,1]",10,"[1,0,1,0]",state_to_state,46,0.038525963149078725
11,"[1,0,1,1]",13,"[1,1,0,1]",state_to_state,1,0.0008375209380234506
11,"[1,0,1,1]",14,"[1,1,1,0]",state_to_state,1,0.0008375209380234506
11,"[1,0,1,1]",15,"[1,1,1,1]",state_to_state,265,0.2219430485762144
12,"[1,1,0,0]",END,END,state_to_END,1975,0.7652072839984502
12,"[1,1,0,0]",0,"[0,0,0,0]",state_to_state,2,0.0007748934521503294
12,"[1,1,0,0]",4,"[0,1,0,0]",state_to_state,28,0.01084850833010461
12,"[1,1,0,0]",5,"[0,1,0,1]",state_to_state,8,0.0030995738086013174
12,"[1,1,0,0]",7,"[0,1,1,1]",state_to_state,1,0.0003874467260751647
12,"[1,1,0,0]",8,"[1,0,0,0]",state_to_state,23,0.008911274699728787
12,"[1,1,0,0]",10,"[1,0,1,0]",state_to_state,6,0.002324680356450988
12,"[1,1,0,0]",13,"[1,1,0,1]",state_to_state,209,0.08097636574970941
12,"[1,1,0,0]",14,"[1,1,1,0]",state_to_state,176,0.06819062378922898
12,"[1,1,0,0]",15,"[1,1,1,1]",state_to_state,153,0.059279349089500194
13,"[1,1,0,1]",END,END,state_to_END,658,0.7624565469293163
13,"[1,1,0,1]",0,"[0,0,0,0]",state_to_state,1,0.0011587485515643105
13,"[1,1,0,1]",1,"[0,0,0,1]",state_to_state,1,0.0011587485515643105
13,"[1,1,0,1]",4,"[0,1,0,0]",state_to_state,2,0.002317497103128621
13,"[1,1,0,1]",5,"[0,1,0,1]",state_to_state,13,0.015063731170336037
13,"[1,1,0,1]",7,"[0,1,1,1]",state_to_state,4,0.004634994206257242
13,"[1,1,0,1]",8,"[1,0,0,0]",state_to_state,1,0.0011587485515643105
13,"[1,1,0,1]",9,"[1,0,0,1]",state_to_state,7,0.008111239860950173
13,"[1,1,0,1]",11,"[1,0,1,1]",state_to_state,10,0.011587485515643106
13,"[1,1,0,1]",12,"[1,1,0,0]",state_to_state,24,0.027809965237543453
13,"[1,1,0,1]",14,"[1,1,1,0]",state_to_state,12,0.013904982618771726
13,"[1,1,0,1]",15,"[1,1,1,1]",state_to_state,130,0.15063731170336037
14,"[1,1,1,0]",END,END,state_to_END,649,0.7537746806039489
14,"[1,1,1,0]",0,"[0,0,0,0]",state_to_state,1,0.0011614401858304297
14,"[1,1,1,0]",3,"[0,0,1,1]",state_to_state,1,0.0011614401858304297
14,"[1,1,1,0]",4,"[0,1,0,0]",state_to_state,3,0.003484320557491289
14,"[1,1,1,0]",5,"[0,1,0,1]",state_to_state,1,0.0011614401858304297
14,"[1,1,1,0]",6,"[0,1,1,0]",state_to_state,9,0.010452961672473868
14,"[1,1,1,0]",7,"[0,1,1,1]",state_to_state,9,0.010452961672473868
14,"[1,1,1,0]",8,"[1,0,0,0]",state_to_state,3,0.003484320557491289
14,"[1,1,1,0]",10,"[1,0,1,0]",state_to_state,10,0.011614401858304297
14,"[1,1,1,0]",11,"[1,0,1,1]",state_to_state,4,0.004645760743321719
14,"[1,1,1,0]",12,"[1,1,0,0]",state_to_state,18,0.020905923344947737
14,"[1,1,1,0]",13,"[1,1,0,1]",state_to_state,13,0.015098722415795587
14,"[1,1,1,0]",15,"[1,1,1,1]",state_to_state,140,0.16260162601626016
15,"[1,1,1,1]",END,END,state_to_END,1237,0.7985797288573273
15,"[1,1,1,1]",3,"[0,0,1,1]",state_to_state,17,0.010974822466107165
15,"[1,1,1,1]",4,"[0,1,0,0]",state_to_state,1,0.0006455777921239509
15,"[1,1,1,1]",5,"[0,1,0,1]",state_to_state,6,0.003873466752743706
15,"[1,1,1,1]",6,"[0,1,1,0]",state_to_state,1,0.0006455777921239509
15,"[1,1,1,1]",7,"[0,1,1,1]",state_to_state,126,0.08134280180761781
15,"[1,1,1,1]",9,"[1,0,0,1]",state_to_state,2,0.0012911555842479018
15,"[1,1,1,1]",10,"[1,0,1,0]",state_to_state,5,0.0032278889606197547
15,"[1,1,1,1]",11,"[1,0,1,1]",state_to_state,120,0.0774693350548741
15,"[1,1,1,1]",12,"[1,1,0,0]",state_to_state,2,0.0012911555842479018
15,"[1,1,1,1]",13,"[1,1,0,1]",state_to_state,16,0.010329244673983214
15,"[1,1,1,1]",14,"[1,1,1,0]",state_to_state,16,0.010329244673983214
